,City,Lat,Temp,Humidity,Cloudiness,Winds
0,moose factory,51.26,2.0,93,90,2.1
1,lagoa,37.14,22.0,88,0,3.6
2,bluff,-23.58,18.51,88,0,3.25
3,portland,45.52,14.66,77,90,1.5
4,tasiilaq,65.61,2.0,64,88,14.9
5,georgetown,6.8,29.91,67,20,3.55
6,tuktoyaktuk,69.44,-7.0,79,5,4.6
7,fort nelson,58.81,0.0,62,90,2.1
8,mahebourg,-20.41,21.0,88,20,3.1
9,souillac,45.6,14.45,87,90,8.2
10,sarankhola,22.31,23.96,100,0,1.4
11,san quintin,17.54,19.51,87,24,1.7
12,cockburn town,21.46,31.0,74,40,9.3
13,mareeba,-16.99,23.0,88,40,1.5
14,harrison,39.26,30.51,53,1,5.1
15,saint-joseph,43.56,18.37,82,90,1.6
16,lebu,8.96,17.0,39,75,4.1
17,mataura,-46.19,8.21,100,92,5.25
18,puerto ayora,-0.74,27.0,51,0,9.8
19,busselton,-33.64,13.36,100,44,7.65
20,qaanaaq,77.48,-8.14,100,0,5.8
21,rikitea,-23.12,20.71,100,100,10.3
22,punta arenas,-53.16,12.0,82,20,15.4
23,rocky mountain house,52.38,9.06,46,8,1.2
24,pevek,69.7,2.01,100,68,1.5
25,callaguip,18.07,20.91,100,0,1.65
26,bukama,-9.2,23.46,75,80,0.75
27,viedma,-40.81,26.51,28,32,7.7
28,almaznyy,48.03,2.61,73,0,1.6
29,soyo,-6.13,24.26,85,48,2.05
30,sao filipe,14.9,27.36,91,0,3.95
31,vila franca do campo,37.72,21.0,88,40,6.7
32,conceicao do araguaia,-8.26,25.76,93,88,1.7
33,coihaique,-45.58,11.0,53,75,3.6
34,cidreira,-30.17,16.91,71,12,6.9
35,klaksvik,62.23,7.0,65,88,6.7
36,kieta,-6.22,25.96,100,44,2.1
37,marsh harbour,26.54,28.81,97,0,6.05
38,hauknes,66.28,-0.09,100,88,1.05
39,yima,34.75,9.06,83,44,1.05
40,tevaitoa,-16.78,25.96,99,0,5.05
41,praia da vitoria,38.73,20.0,88,75,11.7
42,kodiak,39.95,11.1,96,90,5.1
43,cape town,-33.93,20.0,68,0,9.3
44,bredasdorp,-34.53,19.0,82,64,3.6
45,hithadhoo,-0.6,27.71,100,68,8.95
46,hobart,-42.88,10.0,87,75,0.5
47,hermanus,-34.42,14.51,89,20,3.4
48,avarua,-21.21,25.0,61,20,6.2
